Site_name,Stage,Shell_size,foot_mass,albumen_mass
Leonard,a,30.5,0.0783,0.0088
Leonard,s,22.5,0.0175,1e-4
Leonard,a,30.5,0.0574,0.0037
Leonard,s,29,0.009,0.0032
PrairieBeauregard,a,34,0.1689,0.0297
PrairieBeauregard,a,33,0.0909,0.0716
PrairieBeauregard,a,32,0.1638,0.2704
PrairieBeauregard,a,31,0.0292,0.2445
NO_Aulnette,a,33,0.0364,0.0075
NO_Aulnette,a,31,0.0452,0.0027
NO_Aulnette,s,22.5,0.0165,1e-4
NO_Aulnette,s,27.5,0.0354,6e-4
NO_Aulnette,a,35,0.0504,0.0136
Bruyere_parc,a,29,0.0934,0.0688
Bruyere_parc,s,24.5,0.0427,0.003
Bruyere_parc,s,27,0.0116,0.0019
Bruyere_parc,a,29.5,0.0417,0.0055
Bruyere_parc,s,22.5,0.0247,1e-4
Poteau_rural,a,32,0.1569,0.1014
Poteau_rural,a,30,0.0547,0.0287
Poteau_rural,a,31.5,0.0569,0.0037
Poteau_rural,a,29.5,0.0485,0.0254
Poteau_rural,a,31,0.181,0.1658
Poteau_rural,a,32.5,0.1705,0.1758
AppartCity,s,27,0.0503,5e-4
AppartCity,a,28,0.049,0.066
AppartCity,s,27.5,0.0829,0.0136
AppartCity,s,26.5,0.0326,1e-4
AppartCity,a,31,0.0628,0.02
AppartCity,s,29.5,0.0807,0.1314
AppartCity,a,33.5,0.0446,0.167
AppartCity,a,31.5,0.0675,0.0829
Cucille_U_Sud,a,31,0.0664,0.0144
Cucille_U_Sud,s,25.5,0.0649,0.009
Lande_du_Breuil,a,30.5,0.0924,0.1117
Lande_du_Breuil,s,30,0.0856,0.01
Lande_du_Breuil,s,26.5,0.0562,0.0039
Jardin,s,31,0.0747,0.0064
Jardin,s,32,0.0919,0.0104
Jardin,a,33,0.1155,0.0205
Jardin,a,33,0.1108,0.022
Jardin,s,31,0.0115,0.0013
Jardin,s,30,0.054,0.0015
Jardin,a,32,0.0928,0.012
Jardin,s,25,0.0327,1e-4
Jardin,s,26.5,0.0358,0.003
Jardin,s,26.5,0.0693,7e-4
Jardin,s,28,0.0399,0.0035
Jardin,a,31,0.0464,0.0186
Jardin,a,31,0.0787,0.0207
Jardin,s,31,0.0498,0.0021
Jardin,a,33.5,0.0372,0.0079
Jardin,s,22.5,0.0289,0.0014
Jardin,s,27,0.015,0.0036
Jardin,a,31,0.0656,0.006
Jardin,a,33,0.0804,0.0065
Jardin,a,31,0.0391,0.081
Jardin,a,34.5,0.1057,0.028
Jardin,a,33,0.1368,0.0143
Jardin,s,29,0.0563,0.0036
Jardin,s,32,0.0197,0.0072
Jardin,s,27,0.00242,0.0022
Jardin,s,26.5,0.0515,0.0029
Jardin,s,26,0.0062,0.0038
Jardin,a,30,0.0413,0.0409
Jardin,s,23.5,0.0407,1e-4
Jardin,s,23,0.0169,4e-4
Jardin,s,20,0.0178,1e-4
Bambou,s,29,0.06,0.0055
Bambou,a,33,0.1191,0.0453
Bambou,a,28.5,0.1087,0.1254
Bambou,s,30,0.0787,0.0038
Bambou,a,31,0.1173,0.0135
Bambou,s,27,0.0342,8e-4
Bambou,a,29,0.0738,0.173
Bambou,s,27.5,0.0347,0.0047
Bambou,s,26,0.026,0.002
Bambou,s,29.5,0.0867,0.0161
Bambou,s,31,0.0383,0.0126
Bambou,s,27,0.0211,0.0013
Bambou,s,29.5,0.0272,0.0149
Bambou,s,29,0.0103,0.0032
Bambou,s,22,0.0432,1e-4
Bambou,s,22,0.0147,1e-4
Bambou,s,26,0.0074,1e-4
Cucille_3_Nord,s,24,0.0418,0.0062
Cucille_3_Nord,s,24,0.0297,0.001
Cucille_3_Nord,a,28.5,0.0805,0.011
Cucille_3_Nord,a,29,0.0749,0.0317
Cucille_3_Nord,a,29,0.0597,0.1208
Cucille_3_Nord,s,29,0.0598,2e-4
Cucille_3_Nord,a,30,0.0515,0.0047
Cucille_3_Nord,a,30,0.06,0.0101
Cucille_3_Nord,a,30,0.0609,0.0048
Cucille_3_Nord,a,30,0.0331,0.0202
Cucille_3_Nord,a,30,0.0718,0.007
Cucille_3_Nord,a,30.5,0.0687,0.0165
Cucille_3_Nord,a,31,0.1035,0.0211
Cucille_3_Nord,a,33,0.0299,0.006
Friche_rurale,a,33.5,0.0937,0.0031
Friche_rurale,s,21,0.014,1e-4
Friche_rurale,s,21,0.0108,1e-4
Friche_rurale,s,20,0.015,1e-4
Friche_rurale,a,34,0.0504,0.0325
Friche_rurale,a,33,0.0655,0.0128
Friche_rurale,s,31.5,0.0534,0.0103
Friche_rurale,s,29,0.0291,0.0014
Friche_rurale,a,33,0.0441,0.0108
Friche_rurale,s,30.5,0.0414,0.0022
Friche_rurale,s,30,0.0478,0.0011
Friche_rurale,s,30,0.012,7e-4
Friche_rurale,s,28.5,0.0212,0.0204
Friche_rurale,s,30.5,0.063,0.0236
Friche_rurale,s,22,0.0312,0.0039
Friche_rurale,s,20,0.0075,1e-4
Cucille_U_Nord,a,30,0.0566,0.0092
Cucille_U_Nord,s,29,0.0684,0.0038
Cucille_U_Nord,s,28.5,0.0611,0.0038
Cucille_U_Nord,s,28,0.0694,0.0069
Cucille_U_Nord,s,28,0.0372,0.005
Cucille_U_Nord,s,34,0.094,0.0339
Cucille_U_Nord,s,26,0.0687,0.0025
Cucille_U_Nord,a,33.5,0.1789,0.0391
Cucille_U_Nord,s,29.5,0.0632,0.004
Cucille_U_Nord,s,25,0.0583,8e-4
Cucille_U_Nord,s,31,0.08,0.0113
Cucille_U_Nord,s,25,0.0477,0.0012
Cucille_U_Nord,a,31,0.0993,0.011
Cucille_U_Nord,s,22,0.0338,8e-4
Cucille_U_Nord,a,32.5,0.0326,0.0121
Cucille_U_Nord,s,25,0.0599,7e-4
Cucille_U_Nord,s,30,0.1009,0.0058
Cucille_U_Nord,s,33.5,0.1475,0.0119
Cucille_U_Nord,s,24.5,0.0444,1e-4
Cucille_U_Nord,s,35,0.0984,0.0341
Cucille_U_Nord,s,30,0.0717,0.0955
Cucille_U_Nord,s,33.5,0.0772,0.0162
Cucille_U_Nord,s,34,0.0962,0.0049
Cucille_U_Nord,s,34.5,0.0943,0.0055
Cucille_U_Nord,s,28,0.0871,0.0091
Cucille_U_Nord,s,24,0.0219,4e-4
Cucille_U_Nord,s,29.5,0.2013,0.0588
Cucille_U_Nord,s,27,0.0155,0.004
Cucille_U_Nord,s,30,0.0344,0.0022
Cucille_U_Nord,s,26,0.0777,0.0172
Cucille_U_Nord,s,26,0.0609,0.0015
Cucille_U_Nord,a,29.5,0.0902,0.0551
Cucille_U_Nord,s,29.5,0.0851,0.0049
Cucille_U_Nord,a,31,0.1025,0.019
Cucille_U_Nord,s,28,0.0287,0.0064
Cucille_U_Nord,s,24,0.0288,0.001
Cucille_U_Nord,a,31,0.0504,0.0128
Cucille_U_Nord,a,32.5,0.0627,0.0139
Cucille_U_Nord,s,27.5,0.0335,0.0015
Cucille_U_Nord,s,32,0.0375,0.0132
Cucille_U_Nord,a,32,0.048,0.0191
Cucille_U_Nord,s,25,0.0187,0.0235
Cucille_U_Nord,a,31.5,0.0445,0.0231
